ID;Inserted At
86750;2020-05-17 00:00:00
57820;2017-05-17 00:00:00
85284;2020-05-17 00:00:00
210073;2023-07-19 00:00:00
209032;2023-07-18 00:00:00
57785;2017-05-17 00:00:00
82579;2020-05-17 00:00:00
85285;2020-05-17 00:00:00
57770;2017-05-17 00:00:00
67932;2017-05-17 00:00:00
209268;2023-07-18 00:00:00
57266;2017-05-17 00:00:00
57718;2017-05-17 00:00:00
58214;2017-05-17 00:00:00
81099;2020-05-17 00:00:00
71912;2017-05-17 00:00:00
209934;2023-07-17 00:00:00
82589;2020-05-17 00:00:00
83634;2020-05-17 00:00:00
84658;2020-05-17 00:00:00
81119;2020-05-17 00:00:00
26046;2014-05-17 00:00:00
26047;2014-05-17 00:00:00
26049;2014-05-17 00:00:00
66902;2017-05-17 00:00:00
86765;2020-05-17 00:00:00
20069;2014-05-17 00:00:00
66060;2018-09-01 00:00:00
83298;2020-05-17 00:00:00
83330;2020-05-17 00:00:00
209549;2023-07-10 00:00:00
66133;2017-05-17 00:00:00
19542;2011-05-17 00:00:00
210079;2023-07-19 00:00:00
68740;2017-05-17 00:00:00
58042;2017-05-17 00:00:00
58639;2017-05-17 00:00:00
20067;2014-05-17 00:00:00
59336;2017-05-17 00:00:00
83629;2020-05-17 00:00:00
59394;2017-05-17 00:00:00
68734;2017-05-17 00:00:00
77624;2020-05-17 00:00:00
84400;2022-04-01 00:00:00
83664;2020-05-17 00:00:00
84616;2022-04-01 00:00:00
82582;2020-05-17 00:00:00
65873;2018-09-01 00:00:00
83093;2020-05-17 00:00:00
82578;2020-05-17 00:00:00
83747;2020-05-17 00:00:00
74554;2020-05-17 00:00:00
23129;2014-05-17 00:00:00
86752;2020-05-17 00:00:00
72724;2020-05-17 00:00:00
82593;2020-05-17 00:00:00
57963;2017-05-17 00:00:00
72735;2020-05-17 00:00:00
210000;2023-07-17 00:00:00
210151;2023-07-19 00:00:00
77909;2020-05-17 00:00:00
129306;2020-05-17 00:00:00
20075;2014-05-17 00:00:00
23143;2014-05-17 00:00:00
209889;2023-07-13 00:00:00
67878;2017-05-17 00:00:00
81943;2020-05-17 00:00:00
23125;2014-05-17 00:00:00
84620;2020-05-17 00:00:00
19961;2014-05-17 00:00:00
57871;2017-05-17 00:00:00
79624;2020-05-17 00:00:00
66167;2017-05-17 00:00:00
71915;2017-05-17 00:00:00
209848;2023-07-12 00:00:00
71996;2017-05-17 00:00:00
85551;2022-04-01 00:00:00
188199;2020-05-17 00:00:00
86061;2022-04-01 00:00:00
84284;2022-04-01 00:00:00
57738;2017-05-17 00:00:00
19495;2011-05-17 00:00:00
83913;2020-05-17 00:00:00
72616;2017-05-17 00:00:00
133321;2020-05-17 00:00:00
24586;2014-05-17 00:00:00
20071;2014-05-17 00:00:00
82759;2020-05-17 00:00:00
77911;2020-05-17 00:00:00
66079;2018-09-01 00:00:00
59215;2017-05-17 00:00:00
59346;2017-05-17 00:00:00
73004;2020-05-17 00:00:00
86745;2020-05-17 00:00:00
84293;2022-04-01 00:00:00
77883;2020-05-17 00:00:00
68736;2017-05-17 00:00:00
66908;2017-05-17 00:00:00
66107;2018-09-01 00:00:00
83733;2020-05-17 00:00:00
82574;2020-05-17 00:00:00
65883;2018-09-01 00:00:00
82573;2020-05-17 00:00:00
209882;2023-07-13 00:00:00
59397;2017-05-17 00:00:00
188200;2020-05-17 00:00:00
80935;2020-05-17 00:00:00
25243;2014-05-17 00:00:00
85237;2022-04-01 00:00:00
59400;2017-05-17 00:00:00
77889;2020-05-17 00:00:00
73080;2020-05-17 00:00:00
129441;2020-05-17 00:00:00
83574;2022-04-01 00:00:00
66927;2017-05-17 00:00:00
72617;2017-05-17 00:00:00
82591;2020-05-17 00:00:00
57416;2017-05-17 00:00:00
83677;2020-05-17 00:00:00
84036;2022-04-01 00:00:00
83915;2020-05-17 00:00:00
66943;2017-05-17 00:00:00
83724;2020-05-17 00:00:00
129307;2020-05-17 00:00:00
86753;2020-05-17 00:00:00
71981;2017-05-17 00:00:00
83620;2022-04-01 00:00:00
84231;2022-04-01 00:00:00
77324;2020-05-17 00:00:00
209038;2023-07-18 00:00:00
77628;2020-05-17 00:00:00
61517;2017-05-17 00:00:00
19509;2011-05-17 00:00:00
81113;2020-05-17 00:00:00
83667;2020-05-17 00:00:00
84049;2022-04-01 00:00:00
82083;2020-05-17 00:00:00
65895;2018-09-01 00:00:00
66091;2018-09-01 00:00:00
34204;2017-05-17 00:00:00
72725;2020-05-17 00:00:00
83935;2022-04-01 00:00:00
82575;2020-05-17 00:00:00
27357;2014-05-17 00:00:00
77992;2020-05-17 00:00:00
20038;2014-05-17 00:00:00
77996;2020-05-17 00:00:00
72992;2020-05-17 00:00:00
26050;2014-05-17 00:00:00
124647;2020-05-17 00:00:00
209856;2023-07-13 00:00:00
20073;2014-05-17 00:00:00
65903;2018-09-01 00:00:00
65915;2018-09-01 00:00:00
65925;2018-09-01 00:00:00
72355;2017-05-17 00:00:00
83850;2022-04-01 00:00:00
67405;2017-05-17 00:00:00
27356;2011-05-17 00:00:00
72984;2020-05-17 00:00:00
57886;2017-05-17 00:00:00
79532;2020-05-17 00:00:00
83746;2020-05-17 00:00:00
24776;2014-05-17 00:00:00
38817;2017-05-17 00:00:00
68737;2017-05-17 00:00:00
86742;2020-05-17 00:00:00
23144;2014-05-17 00:00:00
188201;2020-05-17 00:00:00
83692;2020-05-17 00:00:00
86740;2020-05-17 00:00:00
77891;2020-05-17 00:00:00
59437;2017-05-17 00:00:00
67222;2017-05-17 00:00:00
23135;2014-05-17 00:00:00
209550;2023-07-10 00:00:00
58285;2017-05-17 00:00:00
82594;2020-05-17 00:00:00
20025;2014-05-17 00:00:00
84717;2022-04-01 00:00:00
83752;2022-04-01 00:00:00
129532;2020-05-17 00:00:00
57994;2017-05-17 00:00:00
34205;2017-05-17 00:00:00
20026;2014-05-17 00:00:00
23123;2014-05-17 00:00:00
58008;2017-05-17 00:00:00
25069;2014-05-17 00:00:00
19555;2014-05-17 00:00:00
23124;2014-05-17 00:00:00
82592;2020-05-17 00:00:00
72444;2017-05-17 00:00:00
82587;2020-05-17 00:00:00
85542;2020-05-17 00:00:00
86754;2020-05-17 00:00:00
209976;2023-07-17 00:00:00
58038;2017-05-17 00:00:00
209896;2023-07-13 00:00:00
210179;2023-07-19 00:00:00
19564;2014-05-17 00:00:00
19561;2014-05-17 00:00:00
19558;2014-05-17 00:00:00
68726;2017-05-17 00:00:00
19515;2011-05-17 00:00:00
67060;2017-05-17 00:00:00
86739;2020-05-17 00:00:00
61459;2017-05-17 00:00:00
25244;2014-05-17 00:00:00
83686;2020-05-17 00:00:00
25070;2014-05-17 00:00:00
25071;2014-05-17 00:00:00
57866;2017-05-17 00:00:00
19487;2011-05-17 00:00:00
20039;2014-05-17 00:00:00
83952;2020-05-17 00:00:00
137153;2020-05-17 00:00:00
137149;2020-05-17 00:00:00
137157;2020-05-17 00:00:00
82577;2020-05-17 00:00:00
327629;2024-02-15 00:00:00
84091;2020-05-17 00:00:00
23132;2014-05-17 00:00:00
57722;2017-05-17 00:00:00
210139;2023-07-19 00:00:00
80797;2020-05-17 00:00:00
77327;2020-05-17 00:00:00
210058;2023-07-19 00:00:00
83311;2020-05-17 00:00:00
57296;2017-05-17 00:00:00
83347;2020-05-17 00:00:00
72618;2017-05-17 00:00:00
71079;2017-05-17 00:00:00
209271;2023-07-18 00:00:00
188197;2020-05-17 00:00:00
68735;2017-05-17 00:00:00
268987;2023-10-26 00:00:00
61451;2017-05-17 00:00:00
19503;2011-05-17 00:00:00
57739;2017-05-17 00:00:00
19521;2014-05-17 00:00:00
61431;2017-05-17 00:00:00
72731;2020-05-17 00:00:00
77994;2020-05-17 00:00:00
210127;2023-07-19 00:00:00
83698;2020-05-17 00:00:00
58016;2017-05-17 00:00:00
24903;2014-05-17 00:00:00
20074;2014-05-17 00:00:00
67481;2017-05-17 00:00:00
83468;2020-05-17 00:00:00
67073;2017-05-17 00:00:00
66164;2017-05-17 00:00:00
84649;2020-05-17 00:00:00
72302;2017-05-17 00:00:00
67908;2017-05-17 00:00:00
24856;2014-05-17 00:00:00
77913;2020-05-17 00:00:00
77893;2020-05-17 00:00:00
77330;2020-05-17 00:00:00
188196;2020-05-17 00:00:00
81105;2020-05-17 00:00:00
